ALMAID, DOI, FULL DOI URL, CITATION


Do I need to put anything in here? 
abusch, 10.1515/janeh-2018-0006, https://doi.org/10.1515/janeh-2018-0006, Abusch, I. Tzvi. The Reconciliation of Angry Personal Gods: A Revision of the &#x160;uillas.. Journal of Ancient Near Eastern History (2018). (forthcoming), 
abusch, 10.2307/j.ctt14bs6b9, https://doi.org/10.2307/j.ctt14bs6b9, Abusch, I. Tzvi. The Versions of a &#x160;uilla to Gula. Die Welt des Orients 49. 1 (2018). (forthcoming), 
abusch, 10.1163/9789004368088_002, https://doi.org/10.1163/9789004368088_002, Abusch, I. Tzvi. Vetitive and Prohibitive: An Observation. Magic and Medicine in Mesopotamia. vol. 14 Ed. Strahil V. Panayotov and Lud&#x11B;k Vac&#xED;n. Leiden and Boston: Brill, 2018 (forthcoming), 
abusch, 10.1163/9789004363380_010, https://doi.org/10.1163/9789004363380_010, Abusch, I. Tzvi. The Form and History of a Babylonian Prayer to Nab&#xFB;. The Scaffolding of Our Thoughts: Essays on Assyriology and the History of Science in Honor of Francesca Rochberg. vol. 13 Ed. C. Jay Crisostomo et al.. Leiden and Boston: Brill, 2018. 169-182., 
abusch, 10.1163/9789004421912_014, https://doi.org/10.1163/9789004421912_014, Abusch, I. Tzvi. A Paean and Petition to a God of Death: Some Comments on a &#x160;uilla to Nergal. From the Four Corners of the Earth: Studies in Iconography and Cultures of the Ancient Near East in Honour of F.A.M. Wiggermann. Ed. D. Kertai and O. Nieuwenhuyse. Muenster: Ugarit-Verlag, 2017. 15-28., 
abusch, 10.3917/assy.113.0171, https://doi.org/10.3917/assy.113.0171, Abusch, I. Tzvi. Fortune and Misfortune of the Individual: Some Observations on the Sufferer"s Plaint in Ludlul b&#x113;l n&#x113;meqi II 12-32. Fortune and Misfortune in the Ancient Near East (Proceedings of RAI 60, Warsaw, 2014). Ed. Olga Drewnowska and Ma&#x142;gorzata Sandowicz. Winona Lake, Indiana: Eisenbrauns, 2017. 51-57., 
abusch, 10.1163/9789004291706_014, https://doi.org/10.1163/9789004291706_014, Abusch, I. Tzvi. Corrigenda to the Transliteration of Maql&#xFB; in The Anti-witchcraft Series Maql&#xFB;: A Student Edition and Selected Commentary. Nouvelles Assyriologiques Br&#xE8;ves et Utilitaires 2/49 (2016): 80-81., 
abusch, 10.1163/9789004421912_002, https://doi.org/10.1163/9789004421912_002, Abusch, I. Tzvi. Kingship in Ancient Mesopotamia: The Case of En&#x16B;ma Eli&#x161;. The Body of the King: The Staging of the Body of the Institutional Leader From Antiquity to Middle Ages in East and West. Proceedings of the Meeting Held in Padova, July 6th-9th, 2011. Ed. G. B. Lanfranchi and R. Rollinger. Padova: S.A.R.G.O.N. Editrice e Libreria, 2016. 59-64., 
abusch, 10.2307/j.ctt14bs6b9, https://doi.org/10.2307/j.ctt14bs6b9, Abusch, I. Tzvi. The Anti-witchcraft Series Maql&#xFB;: A Student Edition and Selected Commentary. Helsinki: Neo-Assyrian Text Corpus Project, 2016., 
abusch, 10.1163/9789004291706, https://doi.org/10.1163/9789004291706, Abusch, I. Tzvi. The Magical Ceremony Maql&#xFB;: A Critical Edition. Leiden and Boston: Brill, 2016., 
abusch, 10.2307/j.ctt14bs6b9, https://doi.org/10.2307/j.ctt14bs6b9, Abusch, I. Tzvi. Maql&#xFB; Tablet II: Its Literary Frame and Formation. Marbeh Hokmah: Studies in the Bible and the Ancient Near East in Loving Memory of Victor Avigdor Hurowitz. Ed. E. Shamir Yona, Edward L. Greenstein, Mayer Gruber, Peter Machinist, Shalom Paul. Winona lake, IN: Eisenbrauns, 2015. 1-12., 
