Primary_Identifier,Affiliation_Unit_Code,Affiliation_Unit_Name,Affiliation_Unit_Type,Affiliation_Position,Affiliation_Position_Title,,
9990,CC18800,Department of Sociology,Current_Internal,Associate Professor,,,
9991,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,Associate Professor,,,
9992,CC25700,Environmental Studies Program,Current_Internal,,,,
9993,CC26100,"Health: Science, Society, and Policy Program",Current_Internal,Associate Professor,,,
9994,CC40100,Heller School for Social Policy and Management,Current_Internal,Associate Professor,,,
10200675,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,Instructor,,,
10200683,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
10200684,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
10200775,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
aaehawkins,CC18400,Department of Economics,Current_Internal,Assistant Professor,,,
aaehawkins,CC43100,International Business School,Current_Internal,,,,
abcooper,CC18100,Department of African and African American Studies,Current_Internal,,,,
abcooper,CC18500,Department of History,Current_Internal,,,,
abdurez,CC43100,International Business School,Current_Internal,,,,
abusch,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,,,,
acheng,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
adavi0001,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
adler,CC16700,Department of Mathematics,Current_Internal,,,,
aeknaian,CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",Current_Internal,,,,
afreiberg,CC11100,Department of Fine Arts,Current_Internal,Lecturer,,,
agrover,CC25000,Education Program,Current_Internal,,,,
agualdoni,CC25100,Legal Studies Program,Current_Internal,,,,
ahahn,CC40100,Heller School for Social Policy and Management,Current_Internal,,,,
ahill,CC18100,Department of African and African American Studies,Current_Internal,University Professor,,,
ahill,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,University Professor,,,
ahill,CC40100,Heller School for Social Policy and Management,Current_Internal,University Professor,,,
ahill,CC25100,Legal Studies Program,Current_Internal,University Professor,,,
ahsiaw,CC18400,Department of Economics,Current_Internal,,,,
ahsiaw,CC43100,International Business School,Current_Internal,Assistant Professor,,,
aida,CC11100,Department of Fine Arts,Current_Internal,Professor,,,
aida,CC12600,"Department of German, Russian, and Asian Languages and Literature",Current_Internal,Professor,,,
aida,CC25600,East Asian Studies Program,Current_Internal,Professor,,,
aida,CC12102,Master of Arts Program in Comparative Humanities,Current_Internal,Professor,,,
ajackson,CC25000,Education Program,Current_Internal,Lecturer,,,
ajaffe,CC16200,Department of Biology,Current_Internal,Professor Emeritus/a,,,
ajaffe,CC18400,Department of Economics,Current_Internal,Professor Emeritus/a,,,
ajmurphy,CC18500,Department of History,Current_Internal,,,,
ajmurphy,CC24700,"Department of Womens, Gender and Sexuality Studies",Current_Internal,,,,
aknkumar,CC40100,Heller School for Social Policy and Management,Current_Internal,Professor of the Practice,,,
alanschlesinger,CC43100,International Business School,Current_Internal,Adjunct Professor,,,
alanus,CC12400,Department of English,Current_Internal,,,,
albion,CC16800,Martin A. Fisher School of Physics,Current_Internal,,,,
aldom,CC18400,Department of Economics,Current_Internal,,,,
aldom,CC43100,International Business School,Current_Internal,,,,
alexanderkaye,CC13200,Department of Near Eastern and Judaic Studies,Current_Internal,Assistant Professor,"Karl, Harry, and Helen Stoll Assistant Professor of Israel Studies",,
aliabdur,CC12400,Department of English,Current_Internal,,,,
aliceainrich,CC43100,International Business School,Current_Internal,,,,
alisonwirshing,CC28100,Rosenstiel Basic Medical Sciences Research Center,Current_Internal,,,,
