10200675,,"=LEFT(e2, 1)",01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional Studies",'Current Internal','-',Instructor
10200683,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
10200684,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
10200775,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
aaehawkins,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,Assistant Professor
aaehawkins,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
abcooper,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,
abcooper,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
abdurez,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
abusch,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
acheng,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
adavi0001,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
adler,,,01BRAND_INST___CC16700,Department of Mathematics,Current Internal,,
aeknaian,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
afreiberg,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,Lecturer
agrover,,,01BRAND_INST___CC25000,Education Program,Current Internal,,
agualdoni,,,01BRAND_INST___CC25100,Legal Studies Program,Current Internal,,
ahahn,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
ahill,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,University Professor
ahill,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,University Professor
ahill,,,01BRAND_INST___CC25100,Legal Studies Program,Current Internal,,University Professor
ahill,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,University Professor
ahsiaw,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
ahsiaw,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Assistant Professor
aida,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,Professor
aida,,,01BRAND_INST___CC12102,Master of Arts Program in Comparative Humanities,Current Internal,,Professor
aida,,,01BRAND_INST___CC12600,"Department of German, Russian, and Asian Languages and Literature",Current Internal,,Professor
aida,,,01BRAND_INST___CC25600,East Asian Studies Program,Current Internal,,Professor
ajackson,,,01BRAND_INST___CC25000,Education Program,Current Internal,,Lecturer
ajaffe,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,Professor Emeritus/a
ajaffe,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,Professor Emeritus/a
ajmurphy,,,01BRAND_INST___CC18500,Department of History,Current Internal,,
ajmurphy,,,01BRAND_INST___CC24700,"Department of Women's, Gender and Sexuality Studies",Current Internal,,
aknkumar,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,Professor of the Practice
alanschlesinger,,,01BRAND_INST___CC43100,International Business School,Current Internal,,Adjunct Professor
alanus,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
albion,,,01BRAND_INST___CC16800,Martin A. Fisher School of Physics,Current Internal,,
aldom,,,01BRAND_INST___CC18400,Department of Economics,Current Internal,,
aldom,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
alexanderkaye,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,"Karl, Harry, and Helen Stoll Assistant Professor of Israel Studies",Assistant Professor
aliabdur,,,01BRAND_INST___CC12400,Department of English,Current Internal,,
aliceainrich,,,01BRAND_INST___CC43100,International Business School,Current Internal,,
alisonwirshing,,,01BRAND_INST___CC28100,Rosenstiel Basic Medical Sciences Research Center,Current Internal,,
aliza,,,01BRAND_INST___CC13200,Department of Near Eastern and Judaic Studies,Current Internal,,
allara,,,01BRAND_INST___CC11100,Department of Fine Arts,Current Internal,,
allenr19,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
alonzaslaver,,,01BRAND_INST___CC16200,Department of Biology,Current Internal,,
altman,,,01BRAND_INST___CC40100,Heller School for Social Policy and Management,Current Internal,,
amaertens,,,01BRAND_INST___CC45100,"Rabb School of Continuing Studies, Division of Graduate Professional                 Studies",Current Internal,,
amberspry,,,01BRAND_INST___CC18100,Department of African and African American Studies,Current Internal,,Assistant Professor
